url,address,name,online_order,book_table,rate,votes,phone,location,rest_type,cuisines,approx_cost_for_two_people,reviews_list,menu_item,listed_in_type,listed_in_city,payMode,Discount,Capacity,Catering
https://www.zomato.com/bangalore/jalsa-banashankari?context=eyJzZSI6eyJlIjpbNTg2OTQsIjE4Mzc1NDc0IiwiNTkwOTAiLCIxODM4Mjk0NCIsIjE4MjI0Njc2IiwiNTkyODkiLCIxODM3MzM4NiJdLCJ0IjoiUmVzdGF1cmFudHMgaW4gQmFuYXNoYW5rYXJpIHNlcnZpbmcgQnVmZmV0In19,942/ 21st Main Road/ 2nd Stage/ Banashankari/ Bangalore,Jalsa,Yes,Yes,4.1,775,080 42297555 and  and +91 9743772233,Banashankari,Casual Dining,North Indian/ Mughlai/ Chinese,800,Rated 4.0'/ 'RATED-  A beautiful place to dine in.The interiors take you back to the Mughal era. The lightings are just perfect.We went there on the occasion of Christmas and so they had only limited items available. But the taste and service was not compromised at all.The only complaint is that the breads could have been better.Would surely like to come here again.,notAvailable,Buffet,Banashankari,"CreditCard, Cash",30,110,yes
https://www.zomato.com/bangalore/spice-elephant-banashankari?context=eyJzZSI6eyJlIjpbIjU4Njk0IiwxODM3NTQ3NCwiNTkwOTAiLCIxODM4Mjk0NCIsIjE4MjI0Njc2IiwiNTkyODkiLCIxODM3MzM4NiJdLCJ0IjoiUmVzdGF1cmFudHMgaW4gQmFuYXNoYW5rYXJpIHNlcnZpbmcgQnVmZmV0In19,2nd Floor/ 80 Feet Road/ Near Big Bazaar/ 6th Block/ Kathriguppe/ 3rd Stage/ Banashankari/ Bangalore,Spice Elephant,Yes,No,4.1,787,080 41714161,Banashankari,Casual Dining,Chinese/ North Indian/ Thai,800,Rated 4.0'/ 'RATED-  Had been here for dinner with family. Turned out to be a good choose suitable for all ages of people. Can try this place. We liked the most was their starters. Service is good. Prices are affordable. Will recommend this restaurant for early dinner. The place is little noisy.,notAvailable,Buffet,Banashankari,"GPay, PhonePe, Paytm",30,170,no
https://www.zomato.com/SanchurroBangalore?context=eyJzZSI6eyJlIjpbIjU4Njk0IiwiMTgzNzU0NzQiLDU5MDkwLCIxODM4Mjk0NCIsIjE4MjI0Njc2IiwiNTkyODkiLCIxODM3MzM4NiJdLCJ0IjoiUmVzdGF1cmFudHMgaW4gQmFuYXNoYW5rYXJpIHNlcnZpbmcgQnVmZmV0In19,1112/ Next to KIMS Medical College/ 17th Cross/ 2nd Stage/ Banashankari/ Bangalore,San Churro Cafe,Yes,No,3.8,918,+91 9663487993,Banashankari,Cafe/ Casual Dining,Cafe/ Mexican/ Italian,800,"Rated 3.0'/ ""RATED-  Ambience is not that good enough and it's not a pocket friendly cafe and the quantity is not that good and desserts are too good enough ??..",notAvailable,Buffet,Banashankari,"GPay, PhonePe, Paytm",35,180,yes
https://www.zomato.com/bangalore/addhuri-udupi-bhojana-banashankari?context=eyJzZSI6eyJlIjpbIjU4Njk0IiwiMTgzNzU0NzQiLCI1OTA5MCIsMTgzODI5NDQsIjE4MjI0Njc2IiwiNTkyODkiLCIxODM3MzM4NiJdLCJ0IjoiUmVzdGF1cmFudHMgaW4gQmFuYXNoYW5rYXJpIHNlcnZpbmcgQnVmZmV0In19,1st Floor/ Annakuteera/ 3rd Stage/ Banashankari/ Bangalore,Addhuri Udupi Bhojana,No,No,3.7,88,+91 9620009302,Banashankari,Quick Bites,South Indian/ North Indian,300,"Rated 4.0'/ ""RATED-  Great food and proper Karnataka style full meals. Been there twice and was fully satisfied.. Will give 5 stars if it's well managed............",notAvailable,Buffet,Banashankari,Cash,15,130,yes
https://www.zomato.com/bangalore/grand-village-basavanagudi?context=eyJzZSI6eyJlIjpbIjU4Njk0IiwiMTgzNzU0NzQiLCI1OTA5MCIsIjE4MzgyOTQ0IiwxODIyNDY3NiwiNTkyODkiLCIxODM3MzM4NiJdLCJ0IjoiUmVzdGF1cmFudHMgaW4gQmFuYXNoYW5rYXJpIHNlcnZpbmcgQnVmZmV0In19,10/ 3rd Floor/ Lakshmi Associates/ Gandhi Bazaar Main Road/ Above Reliance Trends/ Basavanagudi/ Bangalore,Grand Village,No,No,3.8,166,+91 8026612447 and  and +91 9901210005,Basavanagudi,Casual Dining,North Indian/ Rajasthani,600,Rated 4.0'/ 'RATED-  Very good restaurant in neighbourhood. Buffet system is properly arranged. Variety of dishes along with garba dance and puppet show. Good spread of desserts. Live paratha / Kulcha making,notAvailable,Buffet,Banashankari,"PhonePe, GPay, NetBanking",15,70,yes
https://www.zomato.com/bangalore/timepass-dinner-basavanagudi?context=eyJzZSI6eyJlIjpbIjE4Mzc1NDc0IiwiNTkwOTAiLCIxODM4Mjk0NCIsIjE4MjI0Njc2Iiw1OTI4OSwiMTgzNzMzODYiXSwidCI6IlJlc3RhdXJhbnRzIGluIEJhbmFzaGFua2FyaSBzZXJ2aW5nIEJ1ZmZldCJ9fQ==,37/ 5-1/ 4th Floor/ Bosco Court/ Gandhi Bazaar Main Road/ Basavanagudi/ Bangalore,Timepass Dinner,Yes,No,3.8,286,+91 9980040002 and  and +91 9980063005,Basavanagudi,Casual Dining,North Indian,600,Rated 3.0'/ 'RATED-  Food 3/5-Ambience 3/5-Service 3/5--Had been here for family lunch. This place serves buffets too. We ordered soups/ babycorn starters/ butter naan/ kadai panner/ veg kohlapuri/ pease pulav. Food was good. But the service is too slow. They will make you wait for 20 mins to get the order. This place is apt for family hangout.--Cheers.,notAvailable,Buffet,Banashankari,Cash,20,50,no
https://www.zomato.com/bangalore/rosewood-international-hotel-bar-restaurant-mysore-road-bangalore?context=eyJzZSI6eyJlIjpbIjU5MDkwIiwiMTgzODI5NDQiLCIxODIyNDY3NiIsIjU5Mjg5IiwxODM3MzM4Nl0sInQiOiJSZXN0YXVyYW50cyBpbiBCYW5hc2hhbmthcmkgc2VydmluZyBCdWZmZXQifX0=,19/1/ New Timberyard Layout/ Beside Satellite Bus Stop/ Mysore Road/ Bangalore,Rosewood International Hotel - Bar & Restaurant,No,No,3.6,8,+91 9731716688 and  and 080 26740366,Mysore Road,Casual Dining,North Indian/ South Indian/ Andhra/ Chinese,800,Rated 5.0'/ 'RATED-  Awesome food ??Great serviceFriendly staffsGood quality of food-# Complimentary Breakfast ??-# Honey Lemon Chicken and Chicken Manchow Soup-Perfect place too stay alone or with family ????Will stay whenever I will go Bangalore ????,notAvailable,Buffet,Banashankari,Cash,20,90,no
https://www.zomato.com/bangalore/onesta-banashankari?context=eyJzZSI6eyJlIjpbMTg1NjU2NzksIjE4NTkzMDQ0IiwiMTgxNDg5NDEiLCIxODQ3MDc3MSIsIjE4NzE2MDYxIiwiMTg2MzI5NzciLCIxODIwMjk5NyIsIjU5MDkwIiwiMTg1NTkyMTEiLCIxODMyMzYzOSIsIjE4NTc0Mjc3Il0sInQiOiJDYWZcdTAwZTlzIGFuZCBEZWxpcyBpbiBCYW5hc2hhbmthcmkifX0=,2469/ 3rd Floor/ 24th Cross/ Opposite BDA Complex/ 2nd Stage/ Banashankari/ Bangalore,Onesta,Yes,Yes,4.6,2556,080 48653961 and  and 080 48655715,Banashankari,Casual Dining/ Cafe,Pizza/ Cafe/ Italian,600,Rated 5.0'/ 'RATED-  I personally really liked this place ! The ambience with the rooftop / plants / the music is great !-The starters are good and so were the pizzas.-The prices are pretty affordable! Must visit place !,notAvailable,Cafes,Banashankari,"GPay, PhonePe, Paytm",45,120,no
https://www.zomato.com/bangalore/smacznego-banashankari?context=eyJzZSI6eyJlIjpbIjE4NTY1Njc5IiwiMTg1OTMwNDQiLDE4MTQ4OTQxLCIxODQ3MDc3MSIsIjE4NzE2MDYxIiwiMTg2MzI5NzciLCIxODIwMjk5NyIsIjU5MDkwIiwiMTg1NTkyMTEiLCIxODMyMzYzOSIsIjE4NTc0Mjc3IiwiMTg3MjM0OTQiLCIxODg2NzEyMiJdLCJ0IjoiQ2FmXHUwMGU5cyBhbmQgRGVsaXMgaW4gQmFuYXNoYW5rYXJpIn19,2470/ 21 Main Road/ 25th Cross/ Banashankari/ Bangalore,Smacznego,Yes,No,4.2,504,+91 9945230807 and  and +91 9743804471,Banashankari,Cafe,Cafe/ Mexican/ Italian/ Momos/ Beverages,550,"Rated 4.0'/ ""RATED-  Easy to locate-VFM 3.5/5-Taste 5/5-Yummy cheesyyy fries ?-Delicious pasta-They're a must try ??-Loaded nachos and green fries are average!!",notAvailable,Cafes,Banashankari,"GPay, PhonePe, Paytm",45,50,no
https://www.zomato.com/bangalore/caf%C3%A9-down-the-alley-banashankari?context=eyJzZSI6eyJlIjpbIjE4NTY1Njc5IiwiMTg1OTMwNDQiLCIxODE0ODk0MSIsMTg0NzA3NzEsIjE4NzE2MDYxIiwiMTg2MzI5NzciLCIxODIwMjk5NyIsIjU5MDkwIiwiMTg1NTkyMTEiLCIxODMyMzYzOSIsIjE4NTc0Mjc3IiwiMTg3MjM0OTQiLCIxODg2NzEyMiIsIjE4Njg4NDg5Il0sInQiOiJDYWZcdTAwZTlzIGFuZCBEZWxpcyBpbiBCYW5hc2hhbmthcmkifX0=,12/29 Near PES University Back Gate/ D'Souza Nagar/ Hosakerehalli/ 3rd Stage/ Banashankari/ Bangalore,CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Yes,No,4.1,402,080 26724489 and  and +91 7406048982,Banashankari,Cafe,Cafe,500,Rated 4.0'/ 'RATED-  We ended up here on a Saturday afternoon after an hectic day-The food was too good-The ambience is okay-But usually itÃ\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x92s crowded with the college students around-Food 4.5/5-Ambience 4/5,notAvailable,Cafes,Banashankari,"NetBanking, CreditCard, DebitCard",40,80,yes
